sepallength,sepalwidth,petallength,petalwidth,class
"(6.46, 7.18]","(2.48, 2.96]","(4.54, 5.72]",1.3,Iris-versicolor
"(5.02, 5.74]","(3.92, 4.4]","(0.994, 2.18]",0.1,Iris-setosa
"(5.74, 6.46]","(2.48, 2.96]","(4.54, 5.72]",1.4,Iris-virginica
"(5.74, 6.46]","(2.96, 3.44]","(3.36, 4.54]",1.5,Iris-versicolor
"(5.02, 5.74]","(2.48, 2.96]","(3.36, 4.54]",1.1,Iris-versicolor
"(5.02, 5.74]","(2.48, 2.96]","(3.36, 4.54]",1.0,Iris-versicolor
"(7.18, 7.9]","(3.44, 3.92]","(5.72, 6.9]",2.0,Iris-virginica
"(7.18, 7.9]","(2.96, 3.44]","(5.72, 6.9]",1.8,Iris-virginica
"(5.74, 6.46]","(3.92, 4.4]","(0.994, 2.18]",0.2,Iris-setosa
"(6.46, 7.18]","(2.96, 3.44]","(4.54, 5.72]",2.3,Iris-virginica
"(5.74, 6.46]","(2.48, 2.96]","(3.36, 4.54]",1.5,Iris-versicolor
"(4.296, 5.02]","(1.998, 2.48]","(0.994, 2.18]",0.3,Iris-setosa
"(6.46, 7.18]","(2.96, 3.44]","(4.54, 5.72]",1.5,Iris-versicolor
"(5.74, 6.46]","(2.48, 2.96]","(3.36, 4.54]",1.3,Iris-versicolor
"(5.74, 6.46]","(2.48, 2.96]","(3.36, 4.54]",1.3,Iris-versicolor
"(5.02, 5.74]","(3.92, 4.4]","(0.994, 2.18]",0.4,Iris-setosa
"(5.02, 5.74]","(2.96, 3.44]","(0.994, 2.18]",0.5,Iris-setosa
"(4.296, 5.02]","(2.96, 3.44]","(0.994, 2.18]",0.2,Iris-setosa
"(5.74, 6.46]","(2.48, 2.96]","(4.54, 5.72]",2.4,Iris-virginica
"(6.46, 7.18]","(2.96, 3.44]","(4.54, 5.72]",1.8,Iris-virginica
"(4.296, 5.02]","(2.96, 3.44]","(0.994, 2.18]",0.2,Iris-setosa
"(6.46, 7.18]","(2.96, 3.44]","(4.54, 5.72]",1.5,Iris-versicolor
"(5.74, 6.46]","(2.96, 3.44]","(4.54, 5.72]",2.3,Iris-virginica
"(7.18, 7.9]","(2.96, 3.44]","(5.72, 6.9]",2.1,Iris-virginica
"(5.02, 5.74]","(1.998, 2.48]","(3.36, 4.54]",1.3,Iris-versicolor
"(5.02, 5.74]","(2.48, 2.96]","(3.36, 4.54]",1.3,Iris-versicolor
"(5.74, 6.46]","(2.48, 2.96]","(4.54, 5.72]",1.5,Iris-virginica
"(6.46, 7.18]","(2.96, 3.44]","(4.54, 5.72]",2.4,Iris-virginica
"(6.46, 7.18]","(2.48, 2.96]","(4.54, 5.72]",1.4,Iris-versicolor
"(6.46, 7.18]","(2.96, 3.44]","(4.54, 5.72]",2.1,Iris-virginica
"(5.02, 5.74]","(2.48, 2.96]","(4.54, 5.72]",2.0,Iris-virginica
"(5.02, 5.74]","(2.96, 3.44]","(0.994, 2.18]",0.2,Iris-setosa
"(4.296, 5.02]","(2.96, 3.44]","(0.994, 2.18]",0.2,Iris-setosa
"(5.74, 6.46]","(2.48, 2.96]","(4.54, 5.72]",1.6,Iris-versicolor
"(4.296, 5.02]","(2.96, 3.44]","(0.994, 2.18]",0.1,Iris-setosa
"(5.74, 6.46]","(2.48, 2.96]","(4.54, 5.72]",1.4,Iris-versicolor
"(6.46, 7.18]","(2.96, 3.44]","(4.54, 5.72]",2.1,Iris-virginica
"(5.02, 5.74]","(3.44, 3.92]","(0.994, 2.18]",0.2,Iris-setosa
"(5.74, 6.46]","(2.96, 3.44]","(5.72, 6.9]",2.5,Iris-virginica
"(6.46, 7.18]","(2.96, 3.44]","(3.36, 4.54]",1.4,Iris-versicolor
"(5.02, 5.74]","(3.44, 3.92]","(0.994, 2.18]",0.4,Iris-setosa
"(7.18, 7.9]","(3.44, 3.92]","(5.72, 6.9]",2.2,Iris-virginica
"(5.02, 5.74]","(1.998, 2.48]","(3.36, 4.54]",1.0,Iris-versicolor
"(6.46, 7.18]","(2.96, 3.44]","(4.54, 5.72]",2.0,Iris-virginica
"(5.02, 5.74]","(2.48, 2.96]","(3.36, 4.54]",1.2,Iris-versicolor
"(5.74, 6.46]","(2.48, 2.96]","(3.36, 4.54]",1.3,Iris-versicolor
"(5.74, 6.46]","(1.998, 2.48]","(3.36, 4.54]",1.5,Iris-versicolor
"(5.02, 5.74]","(3.44, 3.92]","(0.994, 2.18]",0.2,Iris-setosa
"(5.02, 5.74]","(2.96, 3.44]","(3.36, 4.54]",1.5,Iris-versicolor
"(7.18, 7.9]","(2.96, 3.44]","(5.72, 6.9]",1.6,Iris-virginica
"(5.74, 6.46]","(2.48, 2.96]","(3.36, 4.54]",1.2,Iris-versicolor
"(7.18, 7.9]","(3.44, 3.92]","(5.72, 6.9]",2.5,Iris-virginica
"(5.74, 6.46]","(2.96, 3.44]","(4.54, 5.72]",1.8,Iris-virginica
"(5.02, 5.74]","(2.96, 3.44]","(3.36, 4.54]",1.5,Iris-versicolor
"(6.46, 7.18]","(2.96, 3.44]","(4.54, 5.72]",2.0,Iris-virginica
"(4.296, 5.02]","(2.96, 3.44]","(0.994, 2.18]",0.2,Iris-setosa
"(5.02, 5.74]","(2.48, 2.96]","(3.36, 4.54]",1.3,Iris-versicolor
"(5.02, 5.74]","(2.48, 2.96]","(2.18, 3.36]",1.1,Iris-versicolor
"(5.02, 5.74]","(3.44, 3.92]","(0.994, 2.18]",0.2,Iris-setosa
"(4.296, 5.02]","(2.96, 3.44]","(0.994, 2.18]",0.2,Iris-setosa
"(5.74, 6.46]","(2.96, 3.44]","(4.54, 5.72]",2.4,Iris-virginica
"(6.46, 7.18]","(2.48, 2.96]","(5.72, 6.9]",1.8,Iris-virginica
"(5.74, 6.46]","(1.998, 2.48]","(4.54, 5.72]",1.5,Iris-virginica
"(5.02, 5.74]","(2.48, 2.96]","(3.36, 4.54]",1.3,Iris-versicolor
"(5.74, 6.46]","(2.48, 2.96]","(3.36, 4.54]",1.0,Iris-versicolor
"(4.296, 5.02]","(2.96, 3.44]","(0.994, 2.18]",0.3,Iris-setosa
"(4.296, 5.02]","(1.998, 2.48]","(2.18, 3.36]",1.0,Iris-versicolor
"(5.74, 6.46]","(2.48, 2.96]","(4.54, 5.72]",1.5,Iris-versicolor
"(4.296, 5.02]","(2.48, 2.96]","(3.36, 4.54]",1.7,Iris-virginica
"(5.02, 5.74]","(3.44, 3.92]","(0.994, 2.18]",0.3,Iris-setosa
"(6.46, 7.18]","(2.96, 3.44]","(4.54, 5.72]",2.1,Iris-virginica
"(5.74, 6.46]","(2.48, 2.96]","(3.36, 4.54]",1.2,Iris-versicolor
"(4.296, 5.02]","(2.96, 3.44]","(0.994, 2.18]",0.2,Iris-setosa
"(6.46, 7.18]","(2.96, 3.44]","(5.72, 6.9]",2.2,Iris-virginica
"(5.02, 5.74]","(3.44, 3.92]","(0.994, 2.18]",0.4,Iris-setosa
"(4.296, 5.02]","(3.44, 3.92]","(0.994, 2.18]",0.2,Iris-setosa
"(7.18, 7.9]","(2.48, 2.96]","(5.72, 6.9]",1.8,Iris-virginica
"(4.296, 5.02]","(2.96, 3.44]","(0.994, 2.18]",0.2,Iris-setosa
"(6.46, 7.18]","(2.96, 3.44]","(4.54, 5.72]",2.5,Iris-virginica
"(5.74, 6.46]","(2.48, 2.96]","(4.54, 5.72]",1.9,Iris-virginica
"(6.46, 7.18]","(2.96, 3.44]","(3.36, 4.54]",1.4,Iris-versicolor
"(5.02, 5.74]","(2.48, 2.96]","(3.36, 4.54]",1.3,Iris-versicolor
"(5.74, 6.46]","(2.48, 2.96]","(4.54, 5.72]",2.2,Iris-virginica
"(5.74, 6.46]","(2.96, 3.44]","(4.54, 5.72]",1.8,Iris-virginica
"(5.02, 5.74]","(1.998, 2.48]","(3.36, 4.54]",1.1,Iris-versicolor
"(5.74, 6.46]","(2.48, 2.96]","(4.54, 5.72]",1.8,Iris-virginica
"(4.296, 5.02]","(2.96, 3.44]","(0.994, 2.18]",0.1,Iris-setosa
"(4.296, 5.02]","(3.44, 3.92]","(0.994, 2.18]",0.3,Iris-setosa
"(4.296, 5.02]","(2.48, 2.96]","(0.994, 2.18]",0.2,Iris-setosa
"(6.46, 7.18]","(2.96, 3.44]","(4.54, 5.72]",1.4,Iris-versicolor
"(5.02, 5.74]","(2.96, 3.44]","(0.994, 2.18]",0.2,Iris-setosa
"(5.74, 6.46]","(2.48, 2.96]","(4.54, 5.72]",2.1,Iris-virginica
"(6.46, 7.18]","(2.96, 3.44]","(4.54, 5.72]",1.7,Iris-versicolor
"(4.296, 5.02]","(2.96, 3.44]","(0.994, 2.18]",0.2,Iris-setosa
"(4.296, 5.02]","(2.96, 3.44]","(0.994, 2.18]",0.2,Iris-setosa
"(5.02, 5.74]","(2.48, 2.96]","(3.36, 4.54]",1.3,Iris-versicolor
"(4.296, 5.02]","(2.96, 3.44]","(0.994, 2.18]",0.2,Iris-setosa
"(5.74, 6.46]","(2.96, 3.44]","(4.54, 5.72]",1.8,Iris-virginica
"(5.74, 6.46]","(1.998, 2.48]","(3.36, 4.54]",1.0,Iris-versicolor
"(7.18, 7.9]","(2.48, 2.96]","(5.72, 6.9]",2.3,Iris-virginica
"(7.18, 7.9]","(2.96, 3.44]","(5.72, 6.9]",2.3,Iris-virginica
"(5.02, 5.74]","(3.44, 3.92]","(0.994, 2.18]",0.2,Iris-setosa
"(5.74, 6.46]","(2.48, 2.96]","(4.54, 5.72]",1.8,Iris-virginica
"(6.46, 7.18]","(2.96, 3.44]","(5.72, 6.9]",2.3,Iris-virginica
"(5.02, 5.74]","(3.44, 3.92]","(0.994, 2.18]",0.2,Iris-setosa
