,rule,predicted class,covered examples,correct predictions,wrong predictions,rule accuracy
0,"([('sepallength', '(7.18, 7.9]')], 'Iris-virginica', 0.23684210526315788, 1.0)",Iris-virginica,2,2,0,1.0
1,"([('sepalwidth', '(3.44, 3.92]')], 'Iris-setosa', 0.3225806451612903, 1.0)",Iris-setosa,6,6,0,1.0
2,"([('sepalwidth', '(3.92, 4.4]')], 'Iris-setosa', 0.0967741935483871, 1.0)",Iris-setosa,1,1,0,1.0
3,"([('petallength', '(0.994, 2.18]')], 'Iris-setosa', 0.5806451612903226, 1.0)",Iris-setosa,11,11,0,1.0
4,"([('petallength', '(5.72, 6.9]')], 'Iris-virginica', 0.10526315789473684, 1.0)",Iris-virginica,1,1,0,1.0
5,"([('petallength', '(2.18, 3.36]')], 'Iris-versicolor', 0.05555555555555555, 1.0)",Iris-versicolor,1,1,0,1.0
6,"([('sepallength', '(4.296, 5.02]')], 'Iris-virginica', 0.02631578947368421, 1.0)",Iris-virginica,1,0,1,0.0
7,"([('petallength', '(3.36, 4.54]')], 'Iris-versicolor', 0.6944444444444444, 1.0)",Iris-versicolor,7,7,0,1.0
8,"([('sepallength', '(5.02, 5.74]')], 'Iris-virginica', 0.02631578947368421, 1.0)",Iris-virginica,1,1,0,1.0
9,"([('sepalwidth', '(1.998, 2.48]')], 'Iris-virginica', 0.02631578947368421, 1.0)",Iris-virginica,0,0,0,-
10,"([('petalwidth', 1.3)], 'Iris-versicolor', 0.027777777777777776, 1.0)",Iris-versicolor,0,0,0,-
11,"([('petalwidth', 2.0)], 'Iris-virginica', 0.05263157894736842, 1.0)",Iris-virginica,0,0,0,-
12,"([('petalwidth', 1.8)], 'Iris-virginica', 0.15789473684210525, 1.0)",Iris-virginica,3,2,1,0.6666666666666666
13,"([('petalwidth', 2.3)], 'Iris-virginica', 0.05263157894736842, 1.0)",Iris-virginica,3,3,0,1.0
14,"([('petalwidth', 2.4)], 'Iris-virginica', 0.07894736842105263, 1.0)",Iris-virginica,0,0,0,-
15,"([('petalwidth', 2.5)], 'Iris-virginica', 0.02631578947368421, 1.0)",Iris-virginica,0,0,0,-
16,"([('petalwidth', 1.6)], 'Iris-versicolor', 0.027777777777777776, 1.0)",Iris-versicolor,1,1,0,1.0
17,"([('petalwidth', 2.1)], 'Iris-virginica', 0.10526315789473684, 1.0)",Iris-virginica,0,0,0,-
18,"([('sepallength', '(6.46, 7.18]')], 'Iris-versicolor', 0.1388888888888889, 1.0)",Iris-versicolor,1,1,0,1.0
19,"([('petalwidth', 2.2)], 'Iris-virginica', 0.02631578947368421, 1.0)",Iris-virginica,0,0,0,-
20,"([('petalwidth', 1.9)], 'Iris-virginica', 0.02631578947368421, 1.0)",Iris-virginica,3,3,0,1.0
21,"([('sepallength', '(5.74, 6.46]')], 'Iris-versicolor', 0.05555555555555555, 0.5)",Iris-versicolor,2,2,0,1.0
22,"(None, 'Iris-virginica', 1.0, 0.3619047619047619)",Iris-virginica,1,0,1,0.0
